Processes: 333 total, 2 running, 331 sleeping, 1136 threads 
2019/10/10 14:05:50
Load Avg: 1.88, 1.65, 1.74 
CPU usage: 7.14% user, 19.64% sys, 73.21% idle 
SharedLibs: 209M resident, 64M data, 28M linkedit.
MemRegions: 49309 total, 2486M resident, 68M private, 859M shared.
PhysMem: 8049M used (1596M wired), 142M unused.
VM: 2798G vsize, 1371M framework vsize, 27215(0) swapins, 59328(0) swapouts.
Networks: packets: 361530/404M in, 153922/20M out.
Disks: 217598/3575M read, 83267/1978M written.

PID   COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM    PURG   CMPRS  PGRP PPID STATE    BOOSTS        %CPU_ME %CPU_OTHRS UID FAULTS   COW    MSGSENT  MSGRECV  SYSBSD   SYSMACH  CSW       PAGEINS IDLEW  POWER INSTRS CYCLES USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
720   silhouette       0.0  00:00.04 2     1   56+    2404K+ 0B     2364K+ 720  1    sleeping  0[0]         0.00000 0.00000    501 3694+    142+   178+     53+      643+     413+     215+      15+     0      0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
710   com.apple.quickl 0.0  00:00.04 2     1   45+    1220K+ 0B     664K+  710  1    sleeping  0[0]         0.00000 0.00000    501 2429+    144+   167+     59+      751+     410+     472+      26+     1      0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
709   sysdiagnose      0.0  00:00.04 2     2   33+    1248K+ 0B     1176K+ 709  1    sleeping *0[1+]        0.00000 0.00000    0   2223+    168+   116+     47+      623+     280+     290+      63+     1      0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
708   com.apple.photom 0.0  00:00.13 2     2   40+    6368K+ 0B     6320K+ 708  1    sleeping  0[0]         0.00000 0.00000    501 7683+    608+   303+     99+      1780+    572+     1214+     41+     6      0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
707   deleted          0.0  00:00.39 2     2   54+    3232K+ 0B     2036K+ 707  1    sleeping *0[1+]        0.00000 0.00000    501 4153+    173+   2266+    817+     5968+    3576+    2704+     212+    9      0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
705   taskgated        0.0  00:00.04 3     1   38+    1872K+ 0B     968K+  705  1    sleeping *0[1+]        0.00000 0.00000    0   2488+    140+   92+      48+      720+     248+     258+      4+      1      0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
641   periodic-wrapper 0.0  00:00.01 2     2   24+    364K+  0B     340K+  641  1    sleeping *0[1+]        0.00000 0.00000    0   415+     75+    73+      31+      213+     179+     60+       1+      0      0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
624   distnoted        0.0  00:00.01 2     1   33+    1932K+ 0B     1688K+ 624  1    sleeping *0[1+]        0.00000 0.00000    89  979+     93+    161+     83+      441+     331+     122+      2+      0      0.0   0      0      _spotlight         N/A    N/A   N/A   N/A   N/A   N/A  
623   mdworker_shared  0.0  00:00.06 3     1   48+    2904K+ 0B     2032K+ 623  1    sleeping *0[1+]        0.00000 0.00000    89  4036+    188+   659+     271+     1047+    737+     273+      0       2      0.0   0      0      _spotlight         N/A    N/A   N/A   N/A   N/A   N/A  
616   com.apple.WebKit 0.0  00:02.25 5     2   117+   81M+   13M+   53M+   616  1    sleeping *792+[136+]   0.00000 0.00000    501 80835+   1867+  11164+   5423+    17429+   25525+   16821+    735+    440    0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
615   com.apple.audio. 0.0  00:00.01 2     2   15+    860K+  0B     852K+  615  1    sleeping *0[2+]        0.00000 0.00000    501 2600+    138+   97+      34+      444+     212+     189+      0       0      0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
614   com.apple.WebKit 0.0  02:57.54 20    5   242+   771M+  84M+   84M+   614  1    sleeping *17358+[72+]  0.00000 0.00000    501 1170078+ 38848+ 1052964+ 176927+  714634+  1688541+ 1401127+  1600+   15476  0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
610   mapspushd        0.0  00:00.17 2     1   75+    4568K+ 0B     4160K+ 610  1    sleeping *0[2+]        0.00000 0.00000    501 5169+    227+   393+     981+     4076+    1746+    3631+     41+     68     0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
608   assertiond       0.0  00:00.05 2     1   45+    1476K+ 0B     896K+  608  1    sleeping *0[24+]       0.00000 0.00000    501 2262+    148+   364+     141+     708+     509+     512+      75+     23     0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
602   storedownloadd   0.0  00:00.14 2     1   56+    3212K+ 0B     2968K+ 602  1    sleeping  0[0]         0.00000 0.00000    501 5511+    204+   260+     70+      1136+    533+     615+      74+     1      0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
601   appstoreagent    0.0  00:00.69 2     1   86+    4812K+ 0B     4152K+ 601  1    sleeping *0[3+]        0.00000 0.00000    501 7076+    275+   927+     1055+    13434+   3074+    7613+     134+    521    0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
598   atsd             0.0  00:00.34 2     1   74+    3804K+ 0B     3420K+ 598  1    sleeping *0[4+]        0.00000 0.00000    501 5605+    228+   1351+    219+     36289+   3072+    4738+     185+    9      0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
597   com.apple.access 0.0  00:00.06 2     2   33+    892K+  0B     348K+  597  1    sleeping *0[144+]      0.00000 0.00000    501 1906+    126+   1428+    625+     2655+    1545+    1392+     0       27     0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
580   storeinstalld    0.0  00:00.04 2     1   34+    1136K+ 0B     1092K+ 580  1    sleeping  0[0]         0.00000 0.00000    0   3337+    156+   86+      37+      702+     209+     134+      0       3      0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
570   com.apple.sbd    0.0  00:00.38 3     1   71+    5144K+ 0B     4304K+ 570  1    sleeping *0[8+]        0.00000 0.00000    501 6070+    232+   599+     432+     6890+    1864+    3570+     66+     259    0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
568   EscrowSecurityAl 0.0  00:00.06 2     1   54+    1480K+ 0B     1436K+ 568  1    sleeping  0[0]         0.00000 0.00000    501 7244+    164+   182+     61+      847+     425+     349+      18+     2      0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
566   USBAgent         0.0  00:00.03 2     2   30+    2176K+ 0B     2148K+ 566  1    sleeping  0[0]         0.00000 0.00000    501 2842+    144+   141+     46+      522+     300+     165+      22+     1      0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
548   coreautha        0.0  00:00.31 3     1   152+   4764K+ 0B     3016K+ 548  1    sleeping *0[91+]       0.00000 0.00000    501 6091+    270+   3483+    1278+    5088+    10975+   5761+     82+     276    0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
536   com.apple.Safari 0.0  00:01.01 3     1   53+    9416K+ 0B     7352K+ 536  1    sleeping *0[134+]      0.00000 0.00000    501 10801+   1307+  1513+    1328+    21496+   3905+    14096+    5+      347    0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
532   FMIPClientXPCSer 0.0  00:00.06 2     1   39+    1780K+ 0B     1736K+ 532  1    sleeping *0[1+]        0.00000 0.00000    501 3477+    228+   168+     61+      756+     413+     380+      119+    2      0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
531   siriknowledged   0.0  00:00.10 2     2   43+    2044K+ 0B     1776K+ 531  1    sleeping *0[2+]        0.00000 0.00000    501 4476+    216+   248+     91+      1614+    521+     599+      49+     2      0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
530   com.apple.iTunes 0.0  00:00.11 2     2   47+    2080K+ 0B     1976K+ 530  1    sleeping  0[0]         0.00000 0.00000    501 3758+    185+   198+     561+     2164+    953+     1793+     0       7      0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
526   dprivacyd        0.0  00:00.57 2     2   71+    3164K+ 64K+   1772K+ 526  1    sleeping *0[39+]       0.00000 0.00000    0   4148+    168+   901+     310+     5979+    4614+    2817+     29+     52     0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
524   mobileactivation 0.0  00:00.17 3     1   64+    3528K+ 0B     3156K+ 524  1    sleeping  0[0]         0.00000 0.00000    0   3482+    176+   320+     125+     3620+    750+     2107+     21+     354    0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
523   corespotlightd   0.0  00:01.05 3     1   80+    5764K+ 0B     3328K+ 523  1    sleeping *0[79+]       0.00000 0.00000    501 19267+   215+   2784+    1157+    15548+   5117+    7669+     1341+   77     0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
522   ContextService   0.0  00:00.16 2     2   45+    4948K+ 0B     3348K+ 522  1    sleeping *0[39+]       0.00000 0.00000    501 4190+    712+   579+     175+     1485+    865+     745+      1230+   28     0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
521   SiriNCService    0.0  00:00.89 3     1   239+   4084K+ 0B     1808K+ 521  1    sleeping *0[1115+]     0.00000 0.00000    501 9810+    292+   39099+   12046+   15675+   50358+   13775+    31+     249    0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
517   com.apple.Safari 0.0  00:03.57 2     2   50+    3468K+ 0B     2248K+ 517  1    sleeping *0[6+]        0.00000 0.00000    501 20450+   173+   387+     153+     15703+   815+     10433+    4722+   254    0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
516   SafariCloudHisto 0.0  00:00.84 4     3   50+    6136K+ 0B     5768K+ 516  1    sleeping *0[1+]        0.00000 0.00000    501 8038+    1258+  3994+    84+      28385+   15520+   28152+    5+      1952   0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
513   SafariBookmarksS 0.0  00:01.09 5     3   79+    11M+   0B     11M+   513  1    sleeping *0[1+]        0.00000 0.00000    501 11147+   1781+  4958+    407+     32790+   17365+   29930+    157+    1912   0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
510   com.apple.WebKit 0.0  00:00.25 4     1   89+    2376K+ 0B     1692K+ 510  1    sleeping *2+[83+]      0.00000 0.00000    501 5953+    231+   2292+    1530+    6923+    9144+    5532+     225+    273    0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
509   com.apple.WebKit 0.0  00:02.56 4     1   103+   27M+   0B     8832K+ 509  1    sleeping *1+[56+]      0.00000 0.00000    501 29998+   327+   5221+    2193+    34705+   28088+   18480+    2024+   633    0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
508   com.apple.WebKit 0.0  00:02.00 7     2   108+   6600K+ 0B     2876K+ 508  1    sleeping *2+[82+]      0.00000 0.00000    501 11662+   269+   6615+    4094+    47787+   28060+   29551+    952+    849    0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
507   com.apple.WebKit 0.0  00:02.72 4     1   105+   59M+   0B     27M+   507  1    sleeping *1+[58+]      0.00000 0.00000    501 39782+   310+   7139+    4366+    37887+   38085+   21127+    3341+   603    0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
